Titolo,Autore,Pagine,Codice
Bibliografia della famiglia Ferri,Berardino Ferri.,255 p.,1.2 2
Laudatio del chiar.mo prof. Gabriele De Rosa per i 50 anni di insegnamento del prof. Antonio Cestaro,Gabriele De Rosa.,21 p.,1.2 1 Scansionato con CamScanner CATALOGHI PER AUTORE 1.5
)-Autrici italiane,Mimma De Leo.,198 p.,1.51
Leopardi nel mondo,Centro Nazionale di Studi Leopardiani,303 p.,1.5 2 Scansionato con CamScanner DIZIONARI 1.6
American slang,Richard A. Spears.,528 p.,"1,6 19"
}-Atlante Zanichelli 1996,"Beata Lazzarini , Grazia Zaniboni. Bologna : Zanichelli, 1995.",208 p.,1.6 6
Capire l'antifona : dizionario dei modi di dire con esempi d'autore,"Giovanna Turrini , (et al).",662 p.,1.6 7
"Das pons worterbuch dizionario tedesco italiano, italiano tedesco",Birgit Klausmann-Molter.,1673 p.,1.6 8
Dizionari dei segni,Orazio Romeo.,192 p.,"1,6 16"
Dizionario dei sinonimi,Nicolò Tommaseo.,908 p.,1.6 3
Dizionario di archeologia,Redazione Archeo.,278 p.,1.6 23
Dizionario di mitologia greca e latina,Anna Ferrari.,839 p.,1.6 25
Dizionario Enciclopedico : A-KER,Gisella Dedionigi.,1192 p.,1.6 31
Dizionario Enciclopedico : KER-ZYR,Gisella Dedionigi.,1230 p.,1.6 32
Dizionario Garzanti italiano-francese,Redazione Grandi Opere Garzanti.,1039 p.,1.6 1
Dizionario illustrato della lingua italiana,Valeria Bertero.,2231 p.,1.6 30
}-Dizionario illustrato greco - italiano,"Henry George Liddell , Robert Scott.",1563 p.,1.6 29
Dizionario Inglese,Redazioni lessicografiche Garzanti.,1450 p.,1.6 24
Dizionario latino : latino-italiano italiano-latino,Redazione Rusconi.,537 p.,1.6 27 Scansionato con CamScanner
}-Dizionario tedesco-italiano,Vladimiro Macchi.,1264 p.,1.6 22
Il baccagghiu,Giuseppe Mannino.,,1.6 21
Il Devotino,"Giacomo Devoto , Gian Carlo Oli.",1552 p.,1.6 33
Il nuovo dizionario di francese-italiano italiano-francese,Franca De Dominicis.,2123 p.,1.6 2
Il nuovo dizionario Hazon Garzanti,Lucia iIncerti Caselli.,2429 p.,1.6 5
Il nuovo dizionario inglese,Redazione Grandi Opere Garzanti.,1088 p.,1.6 4
Il nuovo vox dizionario spagnolo italiano italiano spagnolo,"Secundì Sané , Giovanna Schepisi.",577 p.,1.6 17
Il Nuovo Zingarelli,Nicola Zingarelli.,2256 p.,1.6 26
I1 vocabolario,Gianfranco Rossi.,62 p.,1.6 20
Noveau petit Larousse,Librairie Larousse.,1790 p.,1.6 13
Nuovo dizionario italiano-latino,Cosimo Mariano.,1643 p.,1.6 14 I
Politica economica,Luciano Barca.,207 p.,1.6 9
Sinonimi e contrari,Giuseppe Pittano.,863 p.,1.6 15
Sociologia,M. D'Amato.,232 p.,1.6 11
Vocabolario della lingua italiana,Nicola Zingarelli.,2176 p.,1.6 28
Vocabolario della poesia italiana del '900,Giuseppe Savoca.,1151 p.,1.6 18 Scansionato con CamScanner
Il nuovo dizionario di francese-italiano italiano-francese,Franca De Dominicis.,2123 p.,1.6 2
Il nuovo dizionario Hazon Garzanti,"Lucia Incerti Caselli,",2429 p.,1.6 5
Il nuovo dizionario inglese,Redazione Grandi Opere Garzanti.,1088 p.,
Il nuovo vox dizionario spagnolo italiano italiano spagnolo,"Secundì Sané , Giovanna Schepisi.",577 p.,1.6 17
Il Nuovo Zingarelli,Nicola Zingarelli.,2256 p.,1.6 26
Il vocabolario,Gianfranco Rossi.,62 p.,1.6 20
Noveau petit Larousse,Librairie Larousse,1790 p.,1.6 13
Nuovo dizionario italiano-latino,Cosimo Mariano.,1643 p.,1.6 14
Politica economica,Luciano Barca.,207 p.,1.6 9
Sinonimi e contrari,Giuseppe Pittano.,863 p.,1.6 15
Sociologia,M. D'Amato.,232 p.,1.6 11
Vocabolario della lingua italiana,"Nicola Zingarelli,",2176 p.,1.6 28
Vocabolario della poesia italiana del '900,Giuseppe Savoca.,1151 p.,1.6 18 Scansionato con CamScanner ENCICLOPEDIE - ATLANTI 1.7
Annuario 1987,Giulio Mainoldi.,690 p.,1.7 241
Annuario 1988,Giulio Mainoldi.,692 p.,1.7 242
Annuario 1989,Giulio Mainoldi.,691 p.,1.7 243
Annuario 1990,Giulio Mainoldi.,724 p.,1.7 244
Annuario 1991,Giulio Mainoldi.,724 p.,1.7 245
Annuario 1992,Giulio Mainoldi.,691 p.,1.7 246
Annuario 1993,Giulio Mainoldi.,599 p.,1.7 247
Annuario 1994,Giulio Mainoldi.,588 p.,"1.7 248 {M]-Annuario 1995 / Giulio Mainoldi. - Milano : Rcs Rizzoli libri, 1994. - 595 p. ; 27 cm. 1.7 249"
Annuario 1996,Giulio Mainoldi.,588 p.,1.7 250
Annuario 1998,Giulio Mainoldi.,695 p.,1.3 251
Annuario 2000,Giulio Mainoldi.,816 p.,1.7 252
Annuario 2002,Giulio Mainoldi.,,
Annuario 2004,Giulio Mainoldi.,816 p.,1.7 254
Annuario 2006,Giulio Mainoldi.,804 p.,1.7 255 Scansionato con CamScanner
Annuario 2008,Giulio Mainoldi.,777 p.,1.7 256
Atlante Geografico,Liber Kartor AB.,208 p.,
Atlante illustrato : Africa,"N. Lobsenz , R. Clozier.",92 p.,1.7 123
Atlante illustrato : America del Nord,"P.Bacon , R.Clozier.",92 p.,1.7 121
Atlante illustrato : America del Sud,"M. Bevans oe, R.Clozier.",92 p.,1.7 122
Atlante illustrato : Asia del Nord e Estremo Oriente,"R. Clozier , D.W. Furman.",92 p.,1.7 124
Atlante illustrato : Asia del Sud e Medio Oriente,"R. Emsalem , D. W. Furman.",92 p.,1.7 125
Atlante illustrato : Europa Occidentale,"R. Clozier , H.Hill Collins Jr.",92 p.,1.7 119
Atlante illustrato : Europa Orientale e URSS,"R. Clozier , H.Hill Collins Jr.",92 p.,1.7 120
Atlante illustrato : Oceania e Regioni Polari,"P. Bacon , R. Clozier.",86 p.,1.7 126
Atlante Stellare,Bruno Cester.,,
Atlante Stellare,Bruno Cester.,,
Atlante Storico,"Pierre Vidal-Naquet , Jacques Bertin. Milano : R.C.S. Libri & Grandi Opere, 1995.",355 p.,1.7 271
Atlante Storico,"Pierre Vidal-Naquet , Jacques Bertin.",355 p.,1.7 271B
Dizionario Enciclopedico della Letteratura Universale vol.I,Gisella Dedionigi.,536 p.,1.7 257 Scansionato con CamScanner
}-Dizionario Enciclopedico della Letteratura Universale vol.II,Gisella Dedionigi.,520 p.,1.7 258
Dizionario Enciclopedico della Letteratura Universale: vol.III,Gisella Dedionigi.,520 p.,1.7 259
Dizionario Enciclopedico della Letteratura Universale vol.IV,Gisella Dedionigi.,520 p.,1.7 260
